Name,Action,Protocol,Src-Address,Src-Port,Dst-Address,Dst-Port
Deny_UDP_4444,None,udp,0.0.0.0/0,0.0.0.0/0,1025-65535,4444
Deny_UDP_4996,deny,udp,0.0.0.0/0,0.0.0.0/0,1025-65535,4996
Deny_UDP_69,deny,udp,0.0.0.0/0,0.0.0.0/0,1025-65535,69
Deny_IP_10.0.0.0,deny,ip,10.0.0.0/24,0.0.0.0/0, , 
Deny_IP_127.0.0.0,deny,ip,127.0.0.0/24,0.0.0.0/0, , 
Deny_IP_169.254.0.0,deny,ip,169.254.0.0/16,0.0.0.0/0, , 
Deny_IP_192.0.0.0,deny,ip,192.0.0.0/8,0.0.0.0/0, , 
Permit_UDP_0.0.0.0,permit,udp,0.0.0.0/0,255.255.255.255/32,68,67
Permit_icmp_170.70.18.0_reply,permit,icmp,170.70.18.0/24,0.0.0.0/0,any,any
Permit_icmp_170.70.18.0_request,permit,icmp,170.70.18.0/24,0.0.0.0/0,any,any
Deny_icmp_Any,deny,icmp,0.0.0.0/0,0.0.0.0/0,any,any
Permit_igmp_224.77.0.0,permit,igmp,170.70.18.0/24,224.77.0.0/16,any,any
Permit_igmp_239.0.0.0,permit,igmp,170.70.18.0/24,239.0.0.0/8,any,any
Deny_igmp_Any,deny,igmp,0.0.0.0/0,0.0.0.0/0,any,any
Permit_TCP_170.70.49.150,permit,tcp,170.70.18.252/32,170.70.49.150/32,any,any
Permit_TCP_170.70.13.30,permit,tcp,170.70.18.252/32,170.70.13.30/32,any,any
Permit_UDP_170.70.13.30,permit,udp,170.70.18.252/32,170.70.13.30/32,any,any
Permit_TCP_170.70.13.50,permit,tcp,170.70.18.252/32,170.70.13.50/32,any,any
Permit_UDP_170.70.13.50,permit,udp,170.70.18.252/32,170.70.13.50/32,any,any
Permit_TCP_170.70.13.29,permit,tcp,170.70.18.252/32,170.70.13.29/32,any,any
Permit_UDP_170.70.13.29,permit,udp,170.70.18.252/32,170.70.13.29/32,any,any
Permit_TCP_170.70.13.199,permit,tcp,170.70.18.252/32,170.70.13.199/32,any,any
Permit_UDP_170.70.13.199,permit,udp,170.70.18.252/32,170.70.13.199/32,any,any
Permit_IP_170.70.130.164,permit,ip,170.70.18.252/32,170.70.130.164/32, , 
Deny_IP_170.70.18.252_Any,deny,ip,170.70.18.252/32,0.0.0.0/0, , 
Permit_ESP_170.70.18.0_170.70,permit,esp,170.70.18.0/24,170.70.0.0/16,any,any
Permit_TCP_170.70.18.0_170.70,permit,tcp,170.70.18.0/24,170.70.0.0/16,any,any
Permit_UDP_170.70.18.0_170.70,permit,udp,170.70.18.0/24,170.70.0.0/16,any,any
Deny_IP_170.70.18.0_170.70,deny,ip,170.70.18.0/24,170.70.0.0/16, , 
